,CBi,Cities,Towns and suburbs,Rural areas
CP01,879.4538660845053,1560619.8018100718,1695591.9259853445,1824737.1054473333
CP02,46.56411802038963,20657.38961384548,19781.125552725858,21225.732612755142
CP03,35.13703185330254,33485.23576943496,31575.775965913617,24853.69107669079
CP04,5698.4369776577,33145097.950345743,28770042.213897076,23915547.114708297
CP05,313.30189493077563,247095.33952042964,296904.84549918585,295479.65397725947
CP06,105.84141567910288,43476.63708062861,46692.34378262998,41591.918991630824
CP07,507.3276969259396,1333732.8579700072,1516931.370162402,1921847.5086734188
CP08,90.8177533478976,25367.63444315522,28193.605933194085,31405.574671222315
CP09,173.10718845327605,270208.4979545925,294153.96871678805,247610.92631528853
CP10,161.95236768574978,7983.050040339236,5292.289188376993,2545.6612476578725
CP11,19.98844578393721,14450.803588912351,11430.713536099327,8797.319555653432
CP12,5071.319670045019,4999568.610825354,5303068.430621163,4703122.692411398
