region	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	Russia	China	China	China	China	China	China	China	China	China	China	China	China	China	China	China	China	China	China	China	China	China	China	China	China	China	China	China	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa
sector	Crops, vegetables, fruit and nuts	Wheat	Cattle	Animal products	Fish	Drinks and tabacco	Food n.e.c.	Natural gas	Oil	Coal	Mining & quarrying	Textiles, leather & wearing apparel	Forestry etc	Wood, paper & publishing	Chemicals & non-metallic mineral products	Metal & metal products	Electrical & machinery	Transport equipment	Manufacturing & recycling	Electricity by gas	Electricity other & water	Construction	Sale, maintenance & repair of vehicles; fuel; trade; hotels & restaurants	Transport	Post & telecommunications	Financial intermediation & business activity	Public administration; education; health; recreation; other services	Crops, vegetables, fruit and nuts	Wheat	Cattle	Animal products	Fish	Drinks and tabacco	Food n.e.c.	Natural gas	Oil	Coal	Mining & quarrying	Textiles, leather & wearing apparel	Forestry etc	Wood, paper & publishing	Chemicals & non-metallic mineral products	Metal & metal products	Electrical & machinery	Transport equipment	Manufacturing & recycling	Electricity by gas	Electricity other & water	Construction	Sale, maintenance & repair of vehicles; fuel; trade; hotels & restaurants	Transport	Post & telecommunications	Financial intermediation & business activity	Public administration; education; health; recreation; other services	Crops, vegetables, fruit and nuts	Wheat	Cattle	Animal products	Fish	Drinks and tabacco	Food n.e.c.	Natural gas	Oil	Coal	Mining & quarrying	Textiles, leather & wearing apparel	Forestry etc	Wood, paper & publishing	Chemicals & non-metallic mineral products	Metal & metal products	Electrical & machinery	Transport equipment	Manufacturing & recycling	Electricity by gas	Electricity other & water	Construction	Sale, maintenance & repair of vehicles; fuel; trade; hotels & restaurants	Transport	Post & telecommunications	Financial intermediation & business activity	Public administration; education; health; recreation; other services	Crops, vegetables, fruit and nuts	Wheat	Cattle	Animal products	Fish	Drinks and tabacco	Food n.e.c.	Natural gas	Oil	Coal	Mining & quarrying	Textiles, leather & wearing apparel	Forestry etc	Wood, paper & publishing	Chemicals & non-metallic mineral products	Metal & metal products	Electrical & machinery	Transport equipment	Manufacturing & recycling	Electricity by gas	Electricity other & water	Construction	Sale, maintenance & repair of vehicles; fuel; trade; hotels & restaurants	Transport	Post & telecommunications	Financial intermediation & business activity	Public administration; education; health; recreation; other services	Crops, vegetables, fruit and nuts	Wheat	Cattle	Animal products	Fish	Drinks and tabacco	Food n.e.c.	Natural gas	Oil	Coal	Mining & quarrying	Textiles, leather & wearing apparel	Forestry etc	Wood, paper & publishing	Chemicals & non-metallic mineral products	Metal & metal products	Electrical & machinery	Transport equipment	Manufacturing & recycling	Electricity by gas	Electricity other & water	Construction	Sale, maintenance & repair of vehicles; fuel; trade; hotels & restaurants	Transport	Post & telecommunications	Financial intermediation & business activity	Public administration; education; health; recreation; other services	Crops, vegetables, fruit and nuts	Wheat	Cattle	Animal products	Fish	Drinks and tabacco	Food n.e.c.	Natural gas	Oil	Coal	Mining & quarrying	Textiles, leather & wearing apparel	Forestry etc	Wood, paper & publishing	Chemicals & non-metallic mineral products	Metal & metal products	Electrical & machinery	Transport equipment	Manufacturing & recycling	Electricity by gas	Electricity other & water	Construction	Sale, maintenance & repair of vehicles; fuel; trade; hotels & restaurants	Transport	Post & telecommunications	Financial intermediation & business activity	Public administration; education; health; recreation; other services
stressor																																																																																																																																																																		
Taxes less subsidies on products purchased: Total	1264.62924237	336.71356973	50.6322281949	597.422238292	2582.52919291	744.373685191	2413.85549538	927.631697377	9458.96777575	237.935999133	1213.49540479	695.795584574	81.2696450761	1519.66455156	4234.82936886	4566.77022532	892.468719282	374.358917826	170.61533377	563.466208205	767.515473514	2706.25490822	2704.08282316	2925.8165083	642.386305758	572.479566343	-3094.97384195	11382.2019725	873.352365468	1882.37189793	23917.257264	16002.4957468	2934.36142131	30218.6805541	6296.20359808	67873.8932911	1233.83010712	11446.4120015	72845.7282028	432.141918415	31135.4050493	191624.177857	169640.151257	246218.333864	78218.2014596	22818.0994033	325.327360501	21502.4484651	129787.663832	74025.4603516	61513.2088549	2817.94941155	117482.266292	106734.33733	8477.10990311	1537.30813749	1855.82948538	21744.8836799	2485.40102558	6411.24338833	20188.8821563	1709.8328557	30376.3557164	332.314923552	3103.40909584	14872.6898561	742.096997596	16975.883608	33380.2346677	21372.9804797	32263.3907184	26455.3799482	7652.82176259	7152.83386395	24661.0980329	58495.6836622	81216.2820943	85250.8346973	32299.3352281	141559.040244	115158.849402	39881.977511	2459.91101489	2494.33635934	24257.1103887	13999.296414	11690.9143132	37291.4420037	15757.142617	137653.482531	920.384256458	12112.2172032	39896.4523002	5400.06527714	32174.4047615	170023.716772	79919.6110406	172870.319305	74422.0760202	27748.564143	14664.7925444	30283.3056394	134669.820779	140142.287886	98816.5164751	26606.4296929	145999.098339	141467.16509	20623.7240039	1078.18292509	1853.45103572	17708.3600947	5605.00365961	8482.37465165	12453.8918151	2496.25377622	30185.3182173	82.5977058402	7597.65294536	11069.5281576	2142.88503248	17120.6489564	37462.7998985	31244.7647717	44479.8338958	22263.9736452	7098.32621041	2687.46657452	6663.0906431	67430.2247595	120703.519335	78202.0841221	18540.7683475	122192.483572	102386.316663	16463.9769708	1367.07531201	366.914448073	4790.45321616	2053.24436239	3120.28025158	6658.81697119	3388.56682428	17130.5836828	81.4863576802	4090.53574498	7643.16892609	3248.92842476	6517.10912668	12055.7033279	12256.7575424	22254.040459	14362.5206351	3918.4166771	1573.73442547	4093.67843778	35448.0356992	36168.651039	24461.8883983	9749.71702396	30107.4070331	37346.5553399
Other net taxes on production	1.24214504778	-3.37045227297	-63.9700248816	-90.2405548222	-7.44925818408	86.1252731198	5.78844316918	196.863154615	1791.36567392	0.761349274884	453.84344088	19.0224988302	-10.3769131209	153.016147271	172.678836224	426.576891601	-15.165103684	-74.8014093573	-65.4770028053	108.659835611	132.323850298	667.659436081	1104.83588244	817.356196638	580.941226364	4366.80806466	1837.52146455	-5211.24746594	-206.463386711	-2452.27391228	-32424.873692	-10335.1731532	0	-9079.97881744	6246.96505739	69398.58511	2542.43315622	39372.468031	23467.8373784	-851.953143426	321.483407013	-2779.56472463	59014.5986119	-2673.01617959	-5732.21479325	-5045.04077083	-88.9635786312	38.782397093	49758.3488282	-5513.52193845	-114.944032534	-30.0330628347	99318.9193784	-14274.0140292	-6312.87551008	-3219.8011368	-2553.8302301	-2372.20027694	520.59719486	3090.62105404	2318.73826182	499.539384338	1857.11519623	7.19761261258	809.509761244	2314.37019539	388.545796197	3161.06386206	8505.00813399	5270.41605512	7936.61799179	5750.69857413	3740.69646722	3132.82700502	7442.37271061	14224.6074085	89331.5378262	31893.2466818	14292.2588174	165899.552913	38897.922317	16016.222121	1131.4345272	919.698585753	7340.02046249	5649.35043246	33160.5432058	7746.67097573	15001.6824136	83007.3241171	155.849240467	13777.7738974	4288.27643009	2667.630311	7696.53235221	18657.9061703	13177.8347413	21109.1555434	11892.4762644	3275.63585768	8415.98420474	15865.3312935	27142.8318253	184874.235176	44363.193067	20264.2465052	132964.675941	54319.0774087	4009.95332562	21.614609856	235.215896062	1524.61836806	1721.80038991	5040.27324821	2330.37401624	9465.23867647	25290.7656951	12.8138318101	12261.540619	2448.56346402	8087.69110196	4782.89909379	8883.05677732	5195.67653645	8377.38172866	4315.42672225	2033.50994272	7502.96181501	31681.7799383	21090.575451	277716.922572	44019.1663281	85595.7693895	593075.819726	58233.0631699	2241.5724873	74.4658051399	4.51786805562	385.211246101	259.320382966	645.352906154	389.481436119	1834.27101105	9555.20578162	16.4421990362	1377.46490091	367.338461137	518.998282255	334.770622648	583.818708506	391.122362187	1107.8325637	552.656863017	204.070164022	661.007225367	1300.47399628	1447.59333909	21780.2537195	4617.46220731	2949.80338985	13301.166722	6879.73724137
Compensation of employees; wages, salaries, & employers' social contributions: Low-skilled	457.968909156	281.770578083	31.3410532778	402.999947655	457.79495351	258.123243959	566.443703098	462.6955398	1428.66917116	1.74325061599	796.804029109	262.220720609	177.364352417	699.020798243	1130.85730128	2977.95849846	1452.71150451	227.216217303	26.7442572118	475.960554387	444.674652987	3479.75517076	1087.10195293	2659.58486546	847.807797673	3394.87779853	13619.3832147	51033.2326966	2326.49627534	1035.47714583	14761.8152296	35903.0362527	371.97205337	4294.36392482	290.993866925	8897.05612525	302.894617789	6520.39000893	20220.2860569	7605.8304677	2991.60841043	17978.0342866	17600.9200107	36422.9306101	8457.07392478	7116.64383512	259.443335921	3634.97073889	198326.160769	106499.649213	27865.4149516	1547.83647511	58403.7148685	119064.455546	8763.53480438	1287.09806398	393.901227295	6434.84100367	1527.21138216	1807.96125435	6436.62519163	523.928119268	1767.86030625	18.4961473171	1776.19139679	4686.19123762	708.822739712	8433.7750061	11503.5436818	11092.8804755	24645.3885168	9870.31401944	4828.15671045	1201.68371581	2481.68434478	32145.6222438	79475.1495872	46223.9706102	14520.742468	119663.892451	185163.968103	18089.0961781	1272.08149799	426.2859459	7727.59403134	5240.55160707	2977.38524865	8008.01887511	3333.54429248	13152.408385	236.586879947	11838.2805343	10200.5721634	1295.18174376	9222.92085478	24425.0713356	17787.3629789	39934.909985	14657.579463	5531.54275077	2561.05335619	6042.86250065	172064.850864	157643.559079	71607.9231412	16492.0696566	95960.1335448	94874.3400684	1365.40893428	128.399491789	231.576547551	2900.17864208	463.116696713	1475.51301276	3722.81360335	724.557064075	4018.55526219	8.07985811321	2831.46829046	3846.25545678	623.922138543	9138.68654954	11755.2940636	8736.6861806	22382.8263632	10236.0874408	4791.95468562	820.312563346	2525.43298107	93580.9281212	99105.2932017	46129.0517861	38208.5297693	101559.198221	139591.906356	52386.5567256	3451.68522951	2323.23019559	19487.4002353	10020.7773021	4375.72244727	3003.96951031	207.143921552	1115.51761777	10.421500328	1519.93102532	736.889124774	2063.57290183	1249.17636072	2124.42298781	952.146117546	2101.5125609	1014.67247305	465.134805055	382.339572275	858.253143114	7442.111489	14543.3922598	3419.08383165	1370.57423131	6095.78023328	28033.4264966
Compensation of employees; wages, salaries, & employers' social contributions: Medium-skilled	2515.91688742	1472.1966101	164.148348721	2159.48962209	2702.5328994	1533.30352479	3357.05092748	2623.51488305	8323.17316588	13.7728144136	4529.79532	1413.27442573	928.712984856	4717.4681647	7493.99998808	20516.3479325	9984.55743575	1567.12262732	186.256032499	4848.31874868	4549.54170256	20744.1012331	9583.64112288	26288.7453861	8455.58711177	21061.5208282	67744.0461012	385944.63694	17594.980472	7831.17529703	111368.583066	256604.720532	2638.04008683	30361.3510627	1930.38115121	31808.3240351	2066.20794528	15260.4249839	145709.851301	57521.8795623	20854.3135553	126055.883802	120278.116999	259069.890409	57811.4280207	49585.0786032	1461.40016385	20475.2068849	271914.807274	472148.280082	132015.660514	7333.05622702	310021.216645	705374.290156	34455.903321	4548.7544347	1412.43563829	45636.1500212	7039.08554739	18478.9513481	61525.632883	3851.66255474	15923.4098307	259.220999895	18615.5243102	49382.4963507	6291.79225411	86564.9955059	132234.938409	133796.474561	278200.261149	124489.175799	54979.3531485	15056.9191586	23206.0393078	431552.387704	665126.621173	427768.968022	131063.227955	496684.570142	800432.389551	198529.837678	13336.921311	4170.98758372	74022.9582361	55045.5904019	21170.0988612	52339.6532941	16842.6533836	72502.072229	1604.70866696	53204.9783543	69935.0711618	17786.3910792	69532.9320204	187177.822714	145998.125068	311911.886118	129693.919334	40029.326099	16675.4152659	39105.6226608	415696.49311	954872.057662	465126.428659	112398.674175	448712.148022	620486.777737	68668.8861862	2433.26969811	6004.65827959	46303.1146961	16084.2641187	13933.1563789	36588.5977881	9812.39614594	42879.369666	91.891787954	38679.640805	39143.6445272	17912.4984385	81740.5037296	103210.899186	80165.1599924	204312.421568	93332.7225971	44323.6804189	23859.7330052	62786.32393	663398.900767	1673922.50849	550653.587466	519556.98277	1061573.39336	1654504.03957	34504.4939226	2258.82588792	1520.54244173	13847.682536	6828.89538821	3691.92744446	3769.10683883	1367.57475491	7476.07932195	59.1608266782	9636.34361179	3079.55319731	1361.96698507	4820.51260174	8194.95779314	6296.70750854	13848.6807635	6379.60059462	2503.10470338	862.303922032	3090.71798199	35159.8107135	58785.6351226	23566.6144312	8696.06317653	25864.4837704	41718.6531327
Compensation of employees; wages, salaries, & employers' social contributions: High-skilled	1728.43809693	403.955516639	47.1795437114	872.897344387	3307.7471992	1957.70318094	4258.39982317	2654.88316195	8470.56495692	16.9348001233	4547.48749558	1906.95131174	269.8538384	5622.77629713	9054.16139678	23368.8280742	11879.7325328	1833.98513772	221.576084338	5478.07991036	5086.28321971	20863.5030176	14166.0766625	24145.0424367	7669.34438853	115357.760947	225815.349182	2180.14190443	98.5842427653	43.8778825501	999.218568374	4747.52574882	260.485513565	3078.35161008	335.765015375	4233.35234994	273.779365191	2040.91765452	12423.6604085	322.293676206	2367.6525244	13677.3225188	15748.9489582	24936.522028	7552.96269133	5650.84776193	645.042990094	9037.44750654	56141.1255951	42601.830539	12078.4917607	670.922365377	201390.404651	1306021.13511	11999.6526786	868.284643993	549.493282173	29275.3996695	3625.47932098	13449.0597236	45324.0277137	2491.19039757	11916.5457031	218.639309088	8942.537349	32339.5925555	1194.42904421	69633.8094241	98643.633154	98160.0258704	213373.417186	97391.6582659	40207.4243228	22490.5681794	29924.1449039	148463.304625	485822.906023	257183.589101	83440.502485	1291874.73431	1828648.43038	3602.54798155	111.447453318	35.8663303369	5000.52170958	3757.7932212	5165.91619139	20436.1846773	4313.87920473	18679.4430395	441.184759582	12623.6784377	23552.5685847	329.362283553	28281.5498255	66691.8378425	53030.3945427	124304.081358	51822.2589467	13503.3433914	12157.8808232	33730.545809	153312.702718	295228.611262	129374.579865	37591.9947618	647769.763207	1351949.40403	10128.5328421	261.662469804	638.697123745	19103.4781139	2689.4560326	8240.33721142	23785.8829125	5076.90979636	21232.521376	35.0711085518	22451.6116495	24206.3228941	15069.6840453	52592.7781511	72938.2819528	57161.599327	147346.815054	60557.5356365	31208.0078082	16170.9229175	45933.4613769	186707.826606	504352.437914	126097.610194	110248.950079	2152552.76447	2616612.71601	24801.1878996	1621.17814934	1091.33091216	10115.5376949	4951.64558376	2771.09742985	2999.72392939	772.655065649	4146.44413282	49.7068675364	4995.11381908	2410.32976876	980.545606043	4169.29979481	7102.44592998	5746.66794195	12219.8914416	5863.33572486	2204.43082199	1089.25130764	4294.09625642	20448.2894916	48902.1858342	28392.9837755	11053.3581595	54291.7568785	129870.561983
Operating surplus: Consumption of fixed capital	4062.06574021	2813.39987909	330.859687871	3692.86115889	907.988792708	2336.56404935	1495.28840547	3785.72217213	29383.6502577	66.3601452905	5020.14495067	698.145897863	354.559419654	2550.95565225	4766.49178967	27497.4131282	1973.79835939	1111.66425873	127.773862536	2952.60805866	14908.132439	52264.7676621	57876.1253459	12239.0114668	9475.65778097	26922.1043557	28766.8715805	22072.046131	1085.73409411	518.213543837	3054.52113125	5059.07542908	123.188688092	573.189908678	1729.92042705	23008.7992165	4816.29439522	14130.5396595	22348.0810614	691.887903013	7456.47647041	51765.801574	137582.097314	69914.2845503	14387.0389406	6408.54025981	371.853435797	50543.9016087	19743.0390006	150878.266825	49861.6288924	2764.01111461	557776.996812	237969.482341	33712.3380943	5647.50748595	2634.45112495	38059.2306849	3469.49553248	9358.03616993	22925.6717339	6843.31551754	20202.147861	249.840569694	9345.69705324	15524.480122	3263.98515906	34427.153743	66366.78775	51888.8871172	94177.2996751	43401.4532168	16793.9832345	14121.9034223	109215.836508	133816.729115	194714.032309	234964.75187	147228.441894	905560.924012	524131.801039	89821.7729731	9972.54533138	1936.93855399	39456.705035	8698.26369252	9809.17348829	14719.3372841	12625.2726553	72346.5386208	2397.86366019	20764.6955007	22875.8208637	4354.31072716	23823.2066782	88872.1256811	67931.6412245	147756.757056	47540.1661993	10415.6623325	24095.4498283	124177.019598	105690.069364	211245.435882	152911.885833	106491.609475	570484.978502	547476.088738	35640.8305441	2485.56215169	5135.28045849	26210.3880387	6894.40316399	23307.6546252	16556.8867451	20386.4375771	82091.2605182	351.039727465	72594.3254647	18465.3390118	2523.46802407	40726.7015345	171962.781742	71141.8220298	240692.068204	81440.9904986	35788.973706	56325.269518	182730.2484	288087.409939	472978.764276	249858.206175	414698.853648	1884147.23771	851053.558565	10513.7367133	801.297004076	32.9123807254	1490.07034972	487.202805639	1174.25860308	1501.86812665	1645.80982685	10428.4055988	24.9136153725	12906.5437545	2392.00886058	594.910459239	2051.86944042	5537.17207154	4368.90680949	6254.32357938	3451.77769123	1832.94465601	923.391084335	10229.3975166	16503.005768	18422.0182454	12943.7762817	15695.9311666	43877.8208579	51736.5572647
Operating surplus: Rents on land	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Operating surplus: Royalties on resources	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
