		Russia	Russia	Russia	Russia	China	China	China	China	Europe	Europe	Europe	Europe	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Americas and Australia	Americas and Australia	Americas and Australia	Americas and Australia	Africa	Africa	Africa	Africa
new		Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other
region	sector																								
Russia	Crops, vegetables, fruit and nuts	9682.77078823	19.8407933717	405.941176166	1918.07828278	4.12402542316	15.0192350862	0	37.5859213009	846.724950011	57.3107013524	0.293653451812	13.1671799144	920.726527729	0.471674179905	6.41638914766	2.01640696762	10.0532124037	0.00108023478663	0.00909648998909	0.0976269384827	192.485810161	0.00159771492598	0	0.000411830926838
Russia	Wheat	0	11.3091500266	4.95931229355	142.649740636	0	0.000997396179713	0	21.1416855345	160.672244343	0.404776071336	0	1.45664003435	761.559207714	1.75372143668	0	0.397889626157	48.0546210641	0	0	17.8884040355	206.178211836	0.000402093400557	0	0.00022036788215
Russia	Cattle	0	36.8495557128	228.543139506	409.07037758	0	0	0	0	0	0	0	0	3.86648440418e-12	8.08075814815e-07	0	5.82573349283e-06	0	0	0	0	0	0	0	0
Russia	Animal products	6559.56411016	826.805957911	182.075632999	6037.45598197	1.64959064257	2.03158787658	0	0.225152812778	187.253026972	0.0459067083225	0.00820742149489	1.95385903256	447.602959043	0.0548696484578	8.77295003125	0.169353658407	4.23647703799	0	0	0.0187322263073	5.10414652299	2.46201729447e-05	0	1.01082885148e-06
Russia	Fish	28939.4291444	31.0348003602	2.69878504836	1801.3101389	2533.90546481	7.44153204424e-05	0	0.38023062418	321.847339911	0.82754658107	0	4.19208942622	1789.72610244	0.0111164728217	0	16.0884179767	66.6240631089	0	0	1.05680993576	60.1440842516	0.00290674887949	0	3.95399701649e-05
Russia	Drinks and tabacco	23739.251115	12.2529925234	0	810.050766189	0	0	0	0.917879167133	532.90897862	0.0110866594787	0	1.82579041989	674.868772069	0.0962888949325	0	0.447361580267	44.0745942016	0	0	0.0899689395132	11.7540491645	6.99181878368e-05	0	0.000126513411453
Russia	Food n.e.c.	33035.0810236	845.997575484	0	2161.04948346	190.312739468	0	0	0.0847778610561	1098.52978359	1.59177550846	0	8.03377910378	3014.76576923	7.77154126669	0	2.29859268615	35.2826516031	0	0	0.060170665563	126.751227909	0.366942708316	0	6.11867756151e-05
Russia	Natural gas	2073.16644807	382.067830059	0	2317.98593104	0.0011215969566	0	1.07421292868e-09	7.29048344213e-05	1537.06767002	1.07981759545	201.129752576	6980.71359896	668.83882821	0.0502541427332	692.630444663	0.663167030712	0	0	0	0	11.0705086629	0.000105012455573	0	1.23236671818e-05
Russia	Oil	11780.1556894	818.734430924	0	2838.63533923	70.9534273886	0	0	110.84777008	4658.17748624	2.2506157281	585.161916176	468.251720432	3568.51434382	16.1054878484	131.995279555	368.890047619	792.359349288	0	54.7466801145	3.82204707851	340.875565678	0.149849747111	0	0.0121714890485
Russia	Coal	0	332.374425199	0	66.292781825	0	0	0	0	0.78688623351	0.00166191971957	0	21.6333246302	20.3265915457	0.00492728358786	0	0.548779027464	0	0	0	0	0	0	0	0
Russia	Mining & quarrying	546.61264058	503.478774815	0	2351.07475699	0.0743641804885	0	1.20136630691e-09	9.79765324477	567.099389674	0.244807735448	0.556735363742	427.560255015	386.650538056	86.7250943704	0.915666395075	351.060410797	0.221652013389	0	0.0121915311576	5.89606860252	162.227000734	0.0751176791788	1.72722398584	0.0574076866645
Russia	Textiles, leather & wearing apparel	9191.29067226	60.7476817956	0	644.484915031	1.13736814687	0	0	0.0686698669017	696.020775938	0.722198052255	2.64407451453	123.415511255	410.39873129	0.571860924615	1.268588196	1.77313446245	12.3667220807	0	0.130365265234	0.0513279283162	3.05907964033	0.0003864592538	0.152943179558	0.00286898664774
Russia	Forestry etc	3810.95370682	1.56991466951	52.4070406065	263.702915496	107.699962433	0.194016682064	0	8.43117931119	40.045417531	0.0851605112203	25.7766600138	33.8043883694	4.79140387925	0.00387328908115	0.501024477794	5.77928938352	0.0133250502042	0.0089654786986	0	0.0163940873801	5.08242190177e-07	6.17259954783e-08	0	1.28942176552e-09
Russia	Wood, paper & publishing	5396.71172341	142.689747552	983.288323902	2590.584478	14.9360870027	0	5.69416420685	4.12285908188	1126.39214298	1.27065871676	93.5721781972	35.3684629166	2087.08007263	44.7538146381	885.476024931	62.3571462798	86.5217135648	0.000476882507416	5.47357793793	3.48004394044	89.5471506304	0.01515346788	2.13268758653	10.1997407811
Russia	Chemicals & non-metallic mineral products	10035.6815216	375.856131618	0	3656.96926119	63.1939627956	0	0	10.0330709934	3567.05013753	783.007963124	10.018114197	429.15730717	4166.02547032	172.53317894	29.0184848269	60.4055681274	700.381791642	7.32339101801	3.02930885689	24.6390060448	291.752377705	0.592323004943	0.314940908613	0.649829278022
Russia	Metal & metal products	37321.4954816	415.911161853	4066.51111178	9738.17062214	0.292603876117	0	0.278357714927	19.3441069912	181.49883621	7.23205687136e-05	189.722559745	2041.53828543	246.857988528	0.194114610753	441.981887435	113.124520365	19.3922874917	0	30.0505566525	55.9014695469	5.01746390147	1.32688684619e-06	11.4482081193	1.0900327797
Russia	Electrical & machinery	4296.3011915	154.134225943	17092.635748	3947.38023226	0.0281128431726	0	0	2.77125728681	646.934814684	7.02151559169	1799.80705939	478.354735433	829.058308837	21.5698332477	4303.9924519	66.2116659084	103.104098131	0	370.181229723	1.83844985332	85.2473404796	4.58173557089	272.324778709	0.0656604338707
Russia	Transport equipment	668.574174034	0.0250756344658	0.437747806992	1422.14253988	41.3421556043	0	879.54476738	15.2515615586	872.519607606	3.43300881688	750.342781746	287.049204083	1061.71778062	2.31274996863	1754.19775602	26.7567832778	105.246746806	0	286.050697775	5.1161090244	183.139587396	0.103897643366	204.760357732	0.103735137682
Russia	Manufacturing & recycling	701.003403653	0.0143452662716	0.151986210433	882.275329513	2.90625822982	0	0	0.39649754699	516.31536465	0.111816394419	121.266518204	2.13151627429	425.087851881	0.0130137631976	256.363711187	1.30173541955	112.520110324	0	17.1929831545	0.603563177953	36.0722357884	1.079150215e-05	14.1155084373	0.430184227756
Russia	Electricity by gas	11343.0046866	4945.23530265	0	0.838316929411	0	0	0	0	0.144144246805	4.86633460589e-06	0	0	0.0471358993376	0.000147015937118	0	0.000107962058418	0	0	0	0	0	0	0	0
Russia	Electricity other & water	15854.1860742	14020.0693631	0	1.45205283471	0	0	0	0	0.0804620433902	5.27860060611e-05	0	0	6.6284168196	0.000227451117481	0	0.00016626162849	0	0	0	0	0	0	0	0
Russia	Construction	2409.01548186	741.398179341	184463.564232	236.747098321	6.4804884597	0	181.046841276	0	34.3254027316	0.673733016787	617.285329475	0.800007442132	4.11577458846	0.18439843702	440.856147505	0.00817313280114	0.855659778253	6.5746934294e-05	161.772876376	9.62353664962e-05	1.66825697698	0.000136759969823	139.515656477	0.000203037196337
Russia	Sale, maintenance & repair of vehicles; fuel; trade; hotels & restaurants	119498.415276	2640.00736722	3367.37859954	43894.8747734	284.319012085	4.32301077478e-05	0.000545045964203	0.000249475069471	3488.82734004	48.3142167075	4.08438322488	3.50354255721	353.205323673	14.864646286	13.1724575849	58.1335442284	495.522755849	0.0066723064423	0.00071002013035	0.0106052426164	40.8591041969	0.0537959925974	0.000495061435093	0.0113327287947
Russia	Transport	32627.8464289	9206.95326763	384.569033286	519.885150233	220.489396469	1.22237964872	0.78049717385	0.426588061452	3756.76315162	166.037134279	67.0747991475	3.98955721293	427.080178981	33.6428508183	36.4515945779	1.83488241053	350.208659034	6.4874333821	8.61441396161	1.41705944347	128.482808709	1.36756145191	2.78980184233	54.9862971954
Russia	Post & telecommunications	28024.8029075	142.931436955	0	0	0.246599758698	0	0	0	237.724050796	0.316158764756	2.33537395284	0.00146393000437	29.0059046882	0.00622890620736	4.17772054069	0.00671907475826	72.8719989516	0.000953072050309	3.64078032507	0.000949779007818	5.41461056173	0.0214188046096	0.0154467344684	0.000189433485203
Russia	Financial intermediation & business activity	33455.9550064	89849.998005	9411.40391873	38.5074176182	3.4739375733	1.19369658823	0	8.33079181373	536.545292551	35.0911854021	662.638500211	23.153881622	301.066133215	35.2543254202	142.846984486	22.2192537116	496.234914391	26.6317519417	581.793988051	1.04996761393	31.3169550773	2.65669254663	24.2782120519	0.0109392205254
Russia	Public administration; education; health; recreation; other services	61235.692151	143305.927448	16741.8824616	130080.56411	0.154637708577	0.166753830592	0	0.596160970995	326.935264455	159.761329354	2.49109244051	56.7683919288	225.566858733	79.2709545075	2.13538051784	11.5276886722	163.232807965	10.0293925953	0.00134171291927	0.239358555733	1.66958352466	1.85587121921	0.0209787902531	0.178369618997
China	Crops, vegetables, fruit and nuts	553.395906254	0.00600303564873	0	13.1200974137	93969.3619088	7126.68074214	0	38433.3243377	629.565406829	0.800540245302	8.88898049829	19.5078900776	6514.5143242	1.51013044067	189.708868743	12.0965478013	621.95551965	0.0634717032649	0.680278889145	20.1302398313	537.504003938	0.00121649905043	0	0.00496129434365
China	Wheat	0	3.14992981834e-06	0	0	0	4974.2028269	0	6248.79534494	0.0977686101113	0	0	0.00235916591009	0.0666895644829	1.40079820487e-07	0	7.08118064712e-07	0.00109707687108	0	0	0.000191097244895	0.301869000591	5.88711735783e-07	0	3.22644336445e-07
