		Russia	Russia	Russia	Russia	China	China	China	China	France	France	France	France	Italy	Italy	Italy	Italy	Germany	Germany	Germany	Germany	Norway	Norway	Norway	Norway	Spain	Spain	Spain	Spain	UK	UK	UK	UK	Rest of Europe	Rest of Europe	Rest of Europe	Rest of Europe	Rest of Asia	Rest of Asia	Rest of Asia	Rest of Asia	Australia	Australia	Australia	Australia	Canada	Canada	Canada	Canada	Brazil	Brazil	Brazil	Brazil	US	US	US	US	Rest of Americas	Rest of Americas	Rest of Americas	Rest of Americas	Africa	Africa	Africa	Africa
new		Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other	Households consumption	Government consumption	Gross fixed capital formation	Other
region	sector																																																																
Russia	Paddy rice	0	0.410523763195	0.351704197569	3.64435989192	0	0.99920743742	0	0.0201222560054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.48795699276e-07	3.67224621897e-07	0	1.12486684605e-06	6.87318901494e-06	0.00127379916884	0	0.164953649551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Russia	Wheat	0	9.89342017502	3.88217974126	201.685920302	0	0.136997726669	0	9.46138947781e-06	0.173186423746	0	0	0.0144841609387	16.5595333866	0	0	0.217055928024	2.64125367426	0	0	0.0807601420238	0	0	0	0	13.3637283758	0	0	0.0689077007855	0	0	0	0	84.9363333636	0.355370357715	0	0.542352361798	383.540998327	0.104549689038	0.825138874087	0.184743425977	0	0	0	0	0	0	0	4.14666708411	0	0	0	0	0.113627619499	0	0	0.027127776889	45.7009917651	0	0	2.79636093603	103.118602081	0.0022619760906	0	0.022658471393
Russia	Cereal grains nec	0	5.80902715874	4.24338136477	75.7684684179	0	0.909770246326	0	0.00607043428931	0.00410518011482	0	0	0.0211868613514	1.81251505942	0	0	0.00803281174226	2.21647780994	0	0	0.494785365853	0	0	0	0	0.156864154273	0	0	0.0676655020703	0	0	0	0	41.7768506549	19.2026801582	0	0.487842957341	97.4919571639	0.0685554771187	0.210515892184	1.2151971181	0	3.46601985329e-05	0.000450295383377	2.65919182325e-05	0	0	0	0.0288209182787	0	0	0	0	0.0722139380357	0	0	0.00763386249944	0	0	0	0	15.0735185806	6.32950637511e-06	0	3.58787875427e-05
Russia	Vegetables, fruit, nuts	7348.7560457	0.956651413121	218.886720907	259.767039408	2.55049999577	0.000537187831082	0	0.242911036298	1.46672959859	0	0	0.0431672329815	7.54931538135	0	0	0.0981954313953	6.08392325548	0	0	0.101952279647	1.36285289046	0	0.0122089622936	0.0206223124861	0.038548406753	0	0	0.000766598154453	0	0	0	0	99.2934743265	0.0250568038167	0.0863830836992	5.06458866342	187.30268134	0.000165237036623	0.436504434215	0.0410571520625	0	0	0	0	0.0384552707677	0	0	1.05803407886e-05	0	0	0	0	7.77523497774	0	0	0.000147873226753	1.16101295031	0	2.75718446522e-06	0.00129662159231	2.84691039361	6.28362041769e-07	0	4.18868365098e-06
Russia	Oil seeds	12.6394429915	0.37069030563	0.562225648058	18.6082989182	0	0.0280176247171	0	14.530451934	0.240748878805	0	0	0.0205419724131	0.0951562687622	0	0	0.0017790943568	7.06974608714	0	0	0	0.0620564175055	0	0	0.000394697346088	0.0232289371588	0	0	0.0178659107086	0	0	0	0	47.9917703965	0.0419798218952	0	0.307228132666	4.07891135852	0.00757388432138	0	0.0197952609495	0.000105983584563	0.208019453954	0	0.000113745756764	0.971670630454	0	0	0.0248342069626	0.000166576680374	0	0	7.28473936513e-06	0	0	0	0.00625246992334	0	0	0	0	0.000945989718652	5.05580507846e-09	0	9.68620537895e-06
Russia	Crops nec	1170.03766763	2.18392372564	39.9418894592	42.1304109851	0.410868424401	0.218059738517	0	0.698466778418	0.506707660171	0	0.0287802828187	0.0471266723338	0.933758003709	0	0.152818627079	0.0159941559582	2.3051202134	0	0	0.222848479242	0.00582848894465	0	4.74168335812e-05	4.09202356113e-05	0.349929517041	0	0.00490815003088	0.00132351479409	0	0	0	0	20.4466552919	0.214415544887	0.0533551880369	0.0817235920183	42.5636457023	0.00569993556211	4.42749772809	0.0304272998642	0.00543304967805	2.73126459727e-05	0.000294658490225	4.99686096519e-05	0.17231736276	0	0	0.000817912260521	0	0	0	0	0.0160160818237	0	0	0.00940970654431	0.000100383071899	0	2.0351298695e-06	0.000870131691717	0.419369769392	7.45986767206e-07	0	2.48271358905e-05
Russia	Cattle	0	31.7126604934	177.61728462	357.875048342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10410926841e-05	0	0	0	4.34396106628e-07	0	3.1493243052e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Russia	Meat animals nec	0	678.178677918	94.2015692662	4247.37550407	0	3.11609627786	0	1.024145763e-05	0.0742357362458	0	0.00210480646686	0.00278793714165	0	0	0	0	0	0	0	0.00288060298973	0	0	0	0.0161858683348	0	0	0	0	0	0	0	0	0.019857950213	1.33406011799	0.00382301822192	0.00061019152957	0.628946243772	1.69007434119e-05	0.000500630187113	0.259381839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.55585903725e-05	1.05743882484e-11	0	0	7.70914584441e-12	2.82212123953e-07	8.56945699516e-10	0	3.19918911674e-09
