,Products
0,Distribution services of gaseous fuels through mains
1,"Natural gas and services related to natural gas extraction, excluding surveying"
2,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)"
3,Health and social work services (85)
4,"Textiles, apparel, furs, leather"
5,Railway transportation services
6,Inland water transportation services
7,"Financial intermediation services, insurances"
8,Other business services (74)
9,Extra-territorial organizations and bodies
10,N-fertiliser
11,Aluminium and aluminium products
12,Composting and land application
13,Machinery and equipment n.e.c. (29)
14,Private households with employed persons (95)
15,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)"
16,Basic iron and steel and of ferro-alloys and first products thereof
17,Fish and other fishing products; services incidental of fishing (05)
18,Research and development services (73)
19,Cereal grains nec
20,Office machinery and computers (30)
21,Air transport services (62)
22,Petroleum products
23,Other services (93)
24,P- and other fertiliser
25,Education services (80)
26,Crops nec
27,Renting services of machinery and equipment without operator and of personal and household goods (71)
28,Biofuels
29,"Other food, beverages, tobacco"
30,Computer and related services (72)
31,"Recreational, cultural and sporting services (92)"
32,Printed matter and recorded media (22)
33,Membership organisation services n.e.c. (91)
34,"Crude petroleum and services related to crude oil extraction, excluding surveying"
35,Precious metals
36,Furniture; other manufactured goods n.e.c. (36)
37,Vehicles and transport equipment
38,Post and telecommunication services (64)
39,Sea and coastal water transportation services
40,Paddy rice
41,Electricity by wind
42,Public administration and defence services; compulsory social security services (75)
43,Construction work (45)
44,products of Vegetable oils and fats
45,Oil seeds
46,Landfill
47,Electricity by hydro
48,Supporting and auxiliary transport services; travel agency services (63)
49,Rubber and plastic products (25)
50,Other non-metallic mineral products
51,Steam and hot water supply services
52,"Plastics, basic"
53,"Secondary lead for treatment, Re-processing of secondary lead into new lead"
54,Waste incineration
55,Meat animals nec
56,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials
57,Electricity by gas and petroleum products
58,"Glass, tiles, ceramics, bricks"
59,Wheat
60,Chemicals nec
61,"Products of forestry, logging and related services (02)"
62,Animal products nec
63,"Fabricated metal products, except machinery and equipment (28)"
64,"Produced gas (Gas works, Blast ovens, etc.)"
65,"Electrical machinery, audiovisual, and medical equipment"
66,Waste for treatment: biogasification and land application
67,Electricity by coal
68,Mining & Quarrying
69,"Vegetables, fruit, nuts"
70,Secondary raw materials
71,Hotel and restaurant services (55)
72,Foundry work services
73,Other land transportation services
74,Raw milk
75,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries, fuel stations"
76,"Collected and purified water, distribution services of water (41)"
77,Dairy products
78,Meat products
79,Coke and Tar
80,Electricity by nuclear
81,Real estate services (70)
82,Pulp
83,Transportation services via pipelines
84,Paper and paper products
85,"Cement, lime and plaster"
86,"Coal, peat"
87,Nuclear fuel
88,Cattle
89,Charcoal
90,Transmission and distribution of electricity
91,Other metals and products thereof
