,unit
Nature Inputs: Other Bituminous Coal,TJ
Nature Inputs: Electricity by hydro,TJ
Nature Inputs: Electricity by wind,TJ
Nature Inputs: Energy inputs to cultiavted biomass,TJ
Emission Relevant Energy Carrier Aviation Gasoline,TJ
Emission Relevant Energy Carrier Biodiesels,TJ
Emission Relevant Energy Carrier Biogas,TJ
Emission Relevant Energy Carrier Biogasoline,TJ
Emission Relevant Energy Carrier Blast Furnace Gas,TJ
Emission Relevant Energy Carrier Coke Oven Coke,TJ
Emission Relevant Energy Carrier Crops nec,TJ
Emission Relevant Energy Carrier Ethane,TJ
Emission Relevant Energy Carrier Food products nec,TJ
Emission Relevant Energy Carrier Food waste for treatment: incineration,TJ
Emission Relevant Energy Carrier Gas/Diesel Oil,TJ
Emission Relevant Energy Carrier Heavy Fuel Oil,TJ
Emission Relevant Energy Carrier Intert/metal waste for treatment: incineration,TJ
Emission Relevant Energy Carrier Kerosene,TJ
Emission Relevant Energy Carrier Kerosene Type Jet Fuel,TJ
Emission Relevant Energy Carrier Liquefied Petroleum Gases (LPG),TJ
Emission Relevant Energy Carrier Lubricants,TJ
Emission Relevant Energy Carrier Manure (biogas treatment),TJ
Emission Relevant Energy Carrier Manure (conventional treatment),TJ
Emission Relevant Energy Carrier Motor Gasoline,TJ
"Emission Relevant Energy Carrier Natural gas and services related to natural gas extraction, excluding surveying",TJ
Emission Relevant Energy Carrier Oil/hazardous waste for treatment: incineration,TJ
Emission Relevant Energy Carrier Other Bituminous Coal,TJ
Emission Relevant Energy Carrier Other Liquid Biofuels,TJ
Emission Relevant Energy Carrier Paper waste for treatment: incineration,TJ
Emission Relevant Energy Carrier Petroleum Coke,TJ
Emission Relevant Energy Carrier Plastic waste for treatment: incineration,TJ
"Emission Relevant Energy Carrier Products of forestry, logging and related services (02)",TJ
Emission Relevant Energy Carrier Pulp,TJ
Emission Relevant Energy Carrier Refinery Gas,TJ
"Emission Relevant Energy Carrier Secondary paper for treatment, Re-processing of secondary paper into new pulp",TJ
Emission Relevant Energy Carrier Sugar,TJ
Emission Relevant Energy Carrier Textiles waste for treatment: incineration,TJ
